selected_tag_name,min_time,max_time
PCV阀,1486396800,1486396800
“哧哧”声,1499616000,1499616000
万向十字轴,1483545600,1501516800
万向十字轴磨损导致动力不足,1483545600,1483545600
三元催化器,1499961600,1499961600
三元催化转换器,1499961600,1499961600
上次修理失当,1469808000,1500739200
不定时检查车况,1483718400,1502294400
不懂保养汽车,1483286400,1500134400
不能启动,1493481600,1493481600
不能起动,1498060800,1498060800
中控锁故障,1492531200,1492531200
中控门锁,1486224000,1486224000
中控门锁突然失灵故障,1486224000,1486224000
二极管,1484236800,1485705600
二极管接线螺杆,1484668800,1484668800
五缸连杆瓦,1488211200,1488211200
交流发电机,1488297600,1488297600
交流发电机不发电故障,1488297600,1488297600
交流发电机充电电流不稳定,1488124800,1502294400
从动盘,1497715200,1497715200
仪表不显示,1488038400,1488038400
传动皮带,1500307200,1502294400
低压管,1499961600,1499961600
使用制动后不发电,1494172800,1494172800
保险丝,1484496000,1493481600
信号线,1499961600,1499961600
修理不当,1483200000,1500739200
倒车灯不亮,1492012800,1492012800
储油罐,1490803200,1490803200
充电指示灯,1485964800,1491408000
充电指示灯不灭,1485964800,1491408000
充电指示灯不熄灭,1484668800,1485100800
冒黑烟,1483459200,1494864000
冒黑烟，动力不足,1495296000,1495296000
冷却系统,1488470400,1490803200
冷却系统故障,1485100800,1485100800
冷启动困难,1485878400,1498838400
凸轮轴,1495728000,1500393600
凸轮轴承,1494000000,1494000000
凸轮轴轴,1495728000,1495728000
凸轮轴轴承响,1495728000,1495728000
分电器,1484409600,1484409600
分电器断电臂,1494518400,1494518400
分电器盖,1483545600,1493049600
分电器盖窜气故障,1483545600,1483545600
分电器盖窜电,1493049600,1493049600
分离轴,1488729600,1488729600
分离轴承,1503072000,1503072000
分离轴承烧蚀引发的故障,1488729600,1488729600
分缸线,1485705600,1485705600
分缸线故障,1485705600,1485705600
刚大修的发动机严重烧润滑铀,1500739200,1500739200
制动不灵敏,1498406400,1498406400
制动器,1486224000,1491667200
制动时熄火,1488729600,1488729600
制动毂，蹄片,1484409600,1484409600
制动气压不足,1483545600,1483545600
制动液,1498406400,1498406400
制动液温度过高，刹车失灵,1484409600,1484409600
制动跑偏,1489766400,1489852800
制动跑偏故障,1486224000,1486224000
制动踏板,1496851200,1496851200
制动阀,1491667200,1499356800
制动阀漏气故障,1493740800,1499356800
刹车失灵,1491148800,1499011200
刹车线,1491148800,1499011200
加速时有节奏的异响,1490803200,1490803200
加速时机油压力指示灯会点亮,1494000000,1494000000
动力不足,1493568000,1501516800
化油器,1487088000,1500048000
化油器严重回火故障,1496678400,1496678400
化油器保养不当,1488470400,1488470400
化油器异响,1496505600,1496505600
化油器故障,1500048000,1500048000
单向阀弹簧,1488470400,1488470400
单缸,1489248000,1489248000
单缸电时试验机不能起动探因,1489248000,1489248000
压力开关,1499961600,1499961600
发动不着,1495900800,1495900800
发动机,1483200000,1501516800
发动机不能启动,1490630400,1490630400
发动机不能起动,1488211200,1488211200
"发动机低速时的""吱吱""声",1483200000,1483200000
发动机动力下降,1490457600,1490457600
发动机动力不足,1492444800,1503072000
发动机启动困难,1493481600,1497974400
发动机噪声大,1489766400,1496505600
发动机回火,1500393600,1500393600
发动机固定螺栓松脱,1486224000,1486224000
发动机工作不正常,1497888000,1497888000
发动机工作不良,1484236800,1498406400
发动机异响,1488211200,1496851200
发动机故障,1484496000,1500220800
发动机无法启动,1492876800,1503072000
发动机更换气缸后无法起动,1494172800,1494172800
发动机机油压力指示表显示异常,1486483200,1486483200
发动机机油消耗量过大,1488470400,1491667200
发动机烧机油故障,1496419200,1496419200
发动机缺火,1492444800,1492444800
发动机连续“抱轴”,1501516800,1501516800
发动机间歇性无法启动,1490371200,1490371200
发电机,1485964800,1494172800
发电机不发电故障,1485964800,1485964800
发电机充电量过大,1492790400,1492790400
发电机故障,1487088000,1495123200
变速器,1486051200,1499443200
变速器乱档,1487606400,1487606400
变速器出现齿轮撞击声,1486051200,1486051200
变速器换挡困难,1499443200,1499443200
变速器跳挡,1487088000,1487088000
变速器跳档,1489075200,1489075200
变速困难,1493568000,1493568000
变速箱,1496160000,1496160000
变速箱电脑,1500134400,1500134400
启动困难,1483200000,1500134400
启动机,1490889600,1490889600
启动机开关,1490371200,1490371200
启动机故障,1490889600,1490889600
喷油器,1484668800,1503072000
喷油头,1483718400,1497974400
喷油提前角,1497110400,1497110400
喷油泵,1492012800,1493568000
垫板,1484236800,1484236800
垫片,1487433600,1487433600
大量漏油,1487433600,1487433600
定位销,1489075200,1489075200
容易熄火,1490803200,1492704000
履带,1494172800,1496592000
履带断裂,1494172800,1496592000
开锅,1489248000,1492704000
开锅故障,1483718400,1493568000
异响,1484236800,1493568000
引擎,1485100800,1485100800
弹簧,1499443200,1499443200
怠速不稳,1483200000,1500652800
怠速不稳且不易起动,1497715200,1497715200
怠速控制阀,1491926400,1491926400
急加速不良,1493740800,1493740800
意外,1484236800,1503072000
感应线圈,1491753600,1491753600
扁线束,1486569600,1486569600
打转向沉重费力,1496937600,1496937600
扭杆与变速器,1488384000,1488384000
扭杆弹力失准与变速器故障,1488384000,1488384000
换挡困难,1490803200,1492704000
换档冲击,1484496000,1484496000
排出大量蓝烟,1493827200,1493827200
排气管,1484064000,1499184000
排气管“隆、隆”声,1488470400,1488470400
排气管冒黑烟,1490457600,1499184000
排气系统,1496678400,1496678400
排气门,1500220800,1500220800
排除气阻故障,1488384000,1496851200
搭铁线,1492012800,1498060800
操作分心,1483200000,1503072000
故障灯,1498060800,1498060800
故障灯无故亮起,1498060800,1498060800
故障灯闪烁,1484496000,1484496000
散热器,1483200000,1492704000
散热器开关,1483200000,1483200000
方向盘,1490803200,1490803200
方向盘故障,1490803200,1490803200
无倒档,1489334400,1489334400
无法启动,1496160000,1496160000
无法启动故障,1490630400,1490630400
曲轴,1483200000,1493481600
曲轴位置传感器，发动机电子控制器ECU插接头,1495555200,1495555200
曲轴箱,1487433600,1487433600
曲轴箱通风单向阀,1487088000,1487088000
机油,1492876800,1492876800
机油压力指示灯,1494000000,1494000000
机油尺,1483718400,1483718400
机油尺屡次跳出,1483718400,1483718400
机油泵,1487433600,1487433600
机油泵驱动齿轮异响故障,1487779200,1487779200
柱塞锈蚀,1492012800,1492012800
柴油机,1495468800,1496851200
柴油机着火敲击声,1495468800,1495468800
正时齿轮,1484323200,1484323200
正时齿轮发响,1484323200,1484323200
气泵一轴承,1499616000,1499616000
气泵皮带,1492358400,1492358400
气缸,1485705600,1492444800
气缸不工作,1485964800,1485964800
气缸垫,1489766400,1499961600
气缸盖碗形塞锈穿,1485705600,1485705600
气缸盖锈穿,1485705600,1485705600
气门,1493481600,1493568000
气门推杆,1495728000,1495728000
气门脚,1497110400,1497110400
气门脚响,1493481600,1493481600
氧传感器,1483459200,1493308800
水泵,1500134400,1500134400
水温传感器,1492444800,1492444800
水温表,1488211200,1493049600
水温高,1484668800,1500134400
水箱,1484236800,1493913600
水箱“开锅”,1493913600,1493913600
水箱开锅,1484236800,1484236800
水箱盖,1486224000,1486224000
汽油发动机,1488038400,1488038400
汽油发动机故障,1488038400,1488038400
汽油泵,1484236800,1484236800
汽油泵故障,1485705600,1485705600
汽油消耗量过大,1493049600,1493568000
汽油管路及汽油泵,1488384000,1488384000
汽缸垫,1489766400,1489766400
汽车摆头,1499443200,1499443200
没有阅读说明书,1483200000,1503072000
油泵,1495555200,1495555200
油泵破裂,1495555200,1495555200
油管,1484409600,1484409600
油箱,1469808000,1494000000
油表,1494345600,1494345600
油表不准,1496937600,1496937600
油表指针下降得很慢,1494345600,1494345600
油表显示器,1496937600,1496937600
油路中的空气排不净,1500220800,1500220800
活动触点臂,1494000000,1494000000
活塞,1483718400,1483718400
活塞环,1491321600,1491321600
活塞环折断,1483718400,1491321600
消声器,1486569600,1497715200
消声器冒黑烟,1494604800,1494604800
消声器爆裂,1483718400,1497715200
消音器,1483718400,1493568000
混合气,1483200000,1500652800
漏水,1486224000,1486224000
漏油,1485705600,1485705600
激磁二极管,1485100800,1485100800
火线圈，点火开关,1496332800,1496332800
火花塞,1487088000,1500220800
火花塞陶,1494604800,1494604800
灯常亮,1494777600,1494777600
灯泡座,1493740800,1493740800
灯泡座被污物覆盖,1493740800,1493740800
点火器,1483200000,1483200000
点火困难,1483718400,1497974400
点火开关,1483200000,1498838400
点火控制器,1484928000,1500739200
点火线圈,1488470400,1490803200
点火线圈突然爆炸,1488729600,1488729600
烧机油,1492876800,1492876800
熄火,1469808000,1500739200
熄火困难,1487433600,1487433600
熄火难,1495123200,1495123200
熄火，发动不着,1489766400,1489766400
熄火，发动机故障,1500220800,1500220800
熔丝,1494518400,1494518400
熔丝连续熔断,1494518400,1494518400
燃润料消耗异常,1488470400,1488470400
燃爆限制器,1484236800,1484236800
爆燃,1487433600,1487433600
爬坡无力,1496332800,1496332800
电刷,1497974400,1497974400
电压的原因,1494345600,1494345600
电器传动轴,1487088000,1487088000
电器传动轴松动,1487088000,1487088000
电机,1492531200,1492531200
电枢轴,1483545600,1483545600
电枢轴脱焊造成起动机空转,1483545600,1483545600
电流表,1486224000,1486224000
电磁开关,1490198400,1490198400
电磁阀,1484496000,1484496000
电脑模块,1484150400,1500220800
电路,1488470400,1488470400
电路故障,1488470400,1488470400
电阻,1483286400,1483286400
电阻断路,1488470400,1488470400
真空阀,1488729600,1488729600
知道故障不修理,1483545600,1500393600
离合器,1486224000,1494518400
离合器传动销故障,1493740800,1493740800
离合器发料,1491321600,1491321600
离合器异响,1494518400,1503072000
离合器故障,1486224000,1495123200
空气流量计,1492444800,1492444800
空调,1490889600,1493395200
空调不制冷,1491321600,1491321600
空调不致冷,1490889600,1490889600
空调压缩机跳动,1499961600,1499961600
空调故障,1483286400,1499961600
突然熄火后不能启动,1484928000,1484928000
粗心,1483200000,1500048000
线,1494777600,1494777600
组合仪表,1486224000,1486224000
经常不来油,1494000000,1494000000
绝缘垫,1488470400,1488470400
缺门反复发响,1493568000,1493568000
耗油过大,1492704000,1492704000
耗油量明显增加、运行中加速不良,1488902400,1488902400
脱档,1486569600,1486569600
自动变速器不跳四档故障,1499961600,1499961600
节气门,1503072000,1503072000
节气门位置传感器怠速开关,1484668800,1484668800
节温器,1485014400,1489334400
节温器，冷却系,1484668800,1484668800
蓄电池,1484496000,1503072000
蓄电池损坏,1487433600,1487433600
蓄电池突然损坏,1494259200,1499270400
螺帽,1495468800,1495987200
螺栓,1495123200,1500220800
螺栓垫片,1500220800,1500220800
螺母,1496505600,1496505600
螺钉,1488902400,1488902400
行驶摇头,1486224000,1486224000
行驶无力,1484236800,1494604800
行驶时车辆的转向盘难于操纵,1488988800,1488988800
触点烧蚀,1490803200,1490803200
调节器,1488124800,1488124800
责任心不强,1483718400,1499961600
贮气筒,1489248000,1489248000
费油,1496160000,1496160000
"起动困难 ",1486224000,1499616000
起动机,1484668800,1499270400
起动机不转动,1491321600,1491321600
起动机损坏,1484668800,1484668800
起动机故障,1486224000,1486224000
起动机无反应,1485273600,1485273600
起动机空转,1492099200,1492099200
起动机转动无力,1490198400,1494259200
起动机轴承,1484236800,1499616000
起动机运转无力,1491235200,1491235200
起动系疑难故障,1490889600,1490889600
跳挡,1487433600,1487433600
踩制动踏板时大灯亮,1496851200,1496851200
车体有异响,1488297600,1488297600
车内,1498924800,1498924800
车垫,1489248000,1492704000
车灯,1491667200,1491667200
车灯不亮,1489248000,1491667200
车窗,1494345600,1494345600
车间异味,1498924800,1498924800
转向困难,1489248000,1489248000
转向沉重,1497715200,1497715200
转向灯,1486051200,1486051200
转向灯点亮时闪烁的频率比平时快,1486051200,1486051200
转向盘,1488988800,1488988800
转向系,1497715200,1497715200
转子轴,1489334400,1489334400
转换器,1494604800,1494604800
轮胎,1486224000,1497715200
轮胎异常,1486224000,1486224000
轮轴螺孔,1491148800,1491148800
轴承,1485705600,1496937600
轴承盖螺栓,1497974400,1497974400
输出泵,1484409600,1488988800
输油泵故障,1484409600,1488988800
过热现象,1488470400,1488470400
进排气歧管衬垫,1494172800,1494172800
进排气歧管衬垫烧穿,1494172800,1494172800
进气管,1493654400,1493654400
进油管,1488384000,1493827200
连杆轴承，轴颈,1495987200,1495987200
通气口,1484409600,1484409600
造成连续烧瓦,1491148800,1491148800
配气相位严重错乱,1497542400,1497542400
钢板弹簧U型固定螺栓,1489766400,1489766400
钢板弹簧栓,1489852800,1489852800
钢板销衬套,1486224000,1486224000
链条,1490630400,1500134400
锁止失效,1499529600,1499529600
锁片,1499529600,1499529600
防盗器,1489334400,1489334400
风扇叶片,1496678400,1496678400
风扇皮带,1489680000,1494000000
风扇离合器,1492531200,1492531200
飞轮,1491926400,1492704000
飞轮壳易损坏,1491926400,1491926400
飞轮损坏,1492704000,1492704000
驱动齿轮,1492444800,1492444800
驾驶不当,1483200000,1500652800
骊山LS6911,1487779200,1487779200
高压无火,1491753600,1491753600
高温易熄火,1493740800,1493740800
齿轮,1486224000,1497715200
齿轮损坏,1486224000,1486224000
