selected_tag_name,p_tag_name,p_tag_type,create_time
PCV阀,不定时检查车况,行为,1486396800
PCV阀,PCV阀,器件,1486396800
PCV阀,怠速不稳,故障,1486396800
“哧哧”声,“哧哧”声,故障,1499616000
“哧哧”声,不懂保养汽车,行为,1499616000
“哧哧”声,气泵一轴承,器件,1499616000
万向十字轴,万向十字轴,器件,1483545600
万向十字轴,万向十字轴磨损导致动力不足,故障,1483545600
万向十字轴,万向十字轴,器件,1501516800
万向十字轴,动力不足,故障,1501516800
万向十字轴,驾驶不当,行为,1483545600
万向十字轴,意外,行为,1501516800
万向十字轴磨损导致动力不足,万向十字轴,器件,1483545600
万向十字轴磨损导致动力不足,万向十字轴磨损导致动力不足,故障,1483545600
万向十字轴磨损导致动力不足,驾驶不当,行为,1483545600
三元催化器,没有阅读说明书,行为,1499961600
三元催化器,三元催化器,器件,1499961600
三元催化器,自动变速器不跳四档故障,故障,1499961600
三元催化转换器,修理不当,行为,1499961600
三元催化转换器,三元催化转换器,器件,1499961600
三元催化转换器,怠速不稳,故障,1499961600
上次修理失当,上次修理失当,行为,1484236800
上次修理失当,垫板,器件,1484236800
上次修理失当,上次修理失当,行为,1485705600
上次修理失当,气缸,器件,1485705600
上次修理失当,分缸线,器件,1485705600
上次修理失当,上次修理失当,行为,1486224000
上次修理失当,齿轮,器件,1486224000
上次修理失当,发动机,器件,1486224000
上次修理失当,上次修理失当,行为,1487088000
上次修理失当,发电机,器件,1487088000
上次修理失当,化油器,器件,1487088000
上次修理失当,上次修理失当,行为,1490803200
上次修理失当,发动机,器件,1490803200
上次修理失当,发电机,器件,1490803200
上次修理失当,上次修理失当,行为,1493568000
上次修理失当,发动机,器件,1493568000
上次修理失当,上次修理失当,行为,1494604800
上次修理失当,发动机,器件,1494604800
上次修理失当,动力不足,故障,1494604800
上次修理失当,上次修理失当,行为,1493827200
上次修理失当,启动困难,故障,1493827200
上次修理失当,上次修理失当,行为,1494000000
上次修理失当,凸轮轴承,器件,1494000000
上次修理失当,上次修理失当,行为,1496678400
上次修理失当,水温高,故障,1496678400
上次修理失当,上次修理失当,行为,1484496000
上次修理失当,保险丝,器件,1484496000
上次修理失当,发动机故障,故障,1484496000
上次修理失当,上次修理失当,行为,1492012800
上次修理失当,倒车灯不亮,故障,1492012800
上次修理失当,上次修理失当,行为,1494777600
上次修理失当,灯常亮,故障,1494777600
上次修理失当,上次修理失当,行为,1469808000
上次修理失当,油箱,器件,1469808000
上次修理失当,上次修理失当,行为,1484668800
上次修理失当,喷油器,器件,1484668800
上次修理失当,上次修理失当,行为,1489766400
上次修理失当,启动困难,故障,1489766400
上次修理失当,汽缸垫,器件,1489766400
上次修理失当,上次修理失当,行为,1497974400
上次修理失当,发动机故障,故障,1497974400
上次修理失当,上次修理失当,行为,1485100800
上次修理失当,冷却系统故障,故障,1485100800
上次修理失当,上次修理失当,行为,1496332800
上次修理失当,火线圈，点火开关,器件,1496332800
上次修理失当,上次修理失当,行为,1483718400
上次修理失当,喷油头,器件,1483718400
上次修理失当,上次修理失当,行为,1486483200
上次修理失当,发动机,器件,1486483200
上次修理失当,上次修理失当,行为,1488729600
上次修理失当,制动时熄火,故障,1488729600
上次修理失当,上次修理失当,行为,1490889600
上次修理失当,起动机,器件,1490889600
上次修理失当,上次修理失当,行为,1500739200
上次修理失当,刚大修的发动机严重烧润滑铀,故障,1500739200
上次修理失当,上次修理失当,行为,1486051200
上次修理失当,变速器,器件,1486051200
上次修理失当,上次修理失当,行为,1495900800
上次修理失当,发动不着,故障,1495900800
上次修理失当,发动机,器件,1497974400
上次修理失当,异响,故障,1484236800
上次修理失当,气缸盖碗形塞锈穿,故障,1485705600
上次修理失当,分缸线故障,故障,1485705600
上次修理失当,齿轮损坏,故障,1486224000
上次修理失当,发动机固定螺栓松脱,故障,1486224000
上次修理失当,发电机故障,故障,1487088000
上次修理失当,"起动困难 ",故障,1487088000
上次修理失当,怠速不稳,故障,1490803200
上次修理失当,容易熄火,故障,1490803200
上次修理失当,异响,故障,1493568000
上次修理失当,启动困难,故障,1493568000
上次修理失当,启动困难,故障,1494604800
上次修理失当,进油管,器件,1493827200
上次修理失当,发动机故障,故障,1494000000
上次修理失当,风扇叶片,器件,1496678400
上次修理失当,启动困难,故障,1484496000
上次修理失当,电脑模块,器件,1484496000
上次修理失当,搭铁线,器件,1492012800
上次修理失当,线,器件,1494777600
上次修理失当,熄火,故障,1469808000
上次修理失当,怠速不稳,故障,1484668800
上次修理失当,气缸垫,器件,1489766400
上次修理失当,熄火，发动不着,故障,1489766400
上次修理失当,轴承盖螺栓,器件,1497974400
上次修理失当,引擎,器件,1485100800
上次修理失当,爬坡无力,故障,1496332800
上次修理失当,点火困难,故障,1483718400
上次修理失当,发动机机油压力指示表显示异常,故障,1486483200
上次修理失当,真空阀,器件,1488729600
上次修理失当,起动系疑难故障,故障,1490889600
上次修理失当,发动机,器件,1500739200
上次修理失当,变速器出现齿轮撞击声,故障,1486051200
上次修理失当,发动机,器件,1495900800
上次修理失当,发动机启动困难,故障,1497974400
不定时检查车况,不定时检查车况,行为,1483718400
不定时检查车况,机油尺,器件,1483718400
不定时检查车况,不定时检查车况,行为,1485705600
不定时检查车况,二极管,器件,1485705600
不定时检查车况,不定时检查车况,行为,1487433600
不定时检查车况,大量漏油,故障,1487433600
不定时检查车况,不定时检查车况,行为,1491667200
不定时检查车况,发动机,器件,1491667200
不定时检查车况,换挡困难,故障,1491667200
不定时检查车况,不定时检查车况,行为,1492704000
不定时检查车况,开锅,故障,1492704000
不定时检查车况,发动机,器件,1492704000
不定时检查车况,不定时检查车况,行为,1486224000
不定时检查车况,水温高,故障,1486224000
不定时检查车况,不定时检查车况,行为,1484409600
不定时检查车况,启动困难,故障,1484409600
不定时检查车况,不定时检查车况,行为,1494000000
不定时检查车况,发动机异响,故障,1494000000
不定时检查车况,不定时检查车况,行为,1486396800
不定时检查车况,PCV阀,器件,1486396800
不定时检查车况,不定时检查车况,行为,1489334400
不定时检查车况,怠速不稳,故障,1489334400
不定时检查车况,不定时检查车况,行为,1500134400
不定时检查车况,水泵,器件,1500134400
不定时检查车况,怠速不稳,故障,1484409600
不定时检查车况,不定时检查车况,行为,1484323200
不定时检查车况,正时齿轮,器件,1484323200
不定时检查车况,不定时检查车况,行为,1484668800
不定时检查车况,起动机,器件,1484668800
不定时检查车况,不定时检查车况,行为,1502294400
不定时检查车况,交流发电机充电电流不稳定,故障,1502294400
不定时检查车况,不定时检查车况,行为,1495987200
不定时检查车况,发动机故障,故障,1495987200
不定时检查车况,不定时检查车况,行为,1496419200
不定时检查车况,发动机,器件,1496419200
不定时检查车况,不定时检查车况,行为,1493913600
不定时检查车况,水箱,器件,1493913600
不定时检查车况,不定时检查车况,行为,1491235200
不定时检查车况,冷启动困难,故障,1491235200
不定时检查车况,不定时检查车况,行为,1499270400
不定时检查车况,蓄电池突然损坏,故障,1499270400
不定时检查车况,不定时检查车况,行为,1485273600
不定时检查车况,起动机,器件,1485273600
不定时检查车况,不定时检查车况,行为,1488729600
不定时检查车况,点火线圈,器件,1488729600
不定时检查车况,不定时检查车况,行为,1491321600
不定时检查车况,起动机,器件,1491321600
不定时检查车况,不定时检查车况,行为,1493740800
不定时检查车况,灯泡座,器件,1493740800
不定时检查车况,不定时检查车况,行为,1494518400
不定时检查车况,熔丝,器件,1494518400
不定时检查车况,不定时检查车况,行为,1490630400
不定时检查车况,发动机,器件,1490630400
不定时检查车况,不定时检查车况,行为,1490371200
不定时检查车况,发动机,器件,1490371200
不定时检查车况,机油尺屡次跳出,故障,1483718400
不定时检查车况,启动困难,故障,1485705600
不定时检查车况,机油泵,器件,1487433600
不定时检查车况,行驶无力,故障,1491667200
不定时检查车况,离合器,器件,1491667200
不定时检查车况,散热器,器件,1492704000
不定时检查车况,异响,故障,1492704000
不定时检查车况,组合仪表,器件,1486224000
不定时检查车况,油管,器件,1484409600
不定时检查车况,火花塞,器件,1494000000
不定时检查车况,怠速不稳,故障,1486396800
不定时检查车况,转子轴,器件,1489334400
不定时检查车况,水温高,故障,1500134400
不定时检查车况,通气口,器件,1484409600
不定时检查车况,正时齿轮发响,故障,1484323200
不定时检查车况,起动机损坏,故障,1484668800
不定时检查车况,传动皮带,器件,1502294400
不定时检查车况,连杆轴承，轴颈,器件,1495987200
不定时检查车况,发动机烧机油故障,故障,1496419200
不定时检查车况,发动机机油消耗量过大,故障,1491667200
不定时检查车况,水箱“开锅”,故障,1493913600
不定时检查车况,点火开关,器件,1491235200
不定时检查车况,起动机,器件,1499270400
不定时检查车况,起动机无反应,故障,1485273600
不定时检查车况,点火线圈突然爆炸,故障,1488729600
不定时检查车况,起动机不转动,故障,1491321600
不定时检查车况,灯泡座被污物覆盖,故障,1493740800
不定时检查车况,熔丝连续熔断,故障,1494518400
不定时检查车况,发动机不能启动,故障,1490630400
不定时检查车况,发动机间歇性无法启动,故障,1490371200
不懂保养汽车,不懂保养汽车,行为,1483545600
不懂保养汽车,启动困难,故障,1483545600
不懂保养汽车,电枢轴,器件,1483545600
不懂保养汽车,不懂保养汽车,行为,1486224000
不懂保养汽车,电流表,器件,1486224000
不懂保养汽车,不懂保养汽车,行为,1487433600
不懂保养汽车,混合气,器件,1487433600
不懂保养汽车,不懂保养汽车,行为,1489248000
不懂保养汽车,启动困难,故障,1489248000
不懂保养汽车,不懂保养汽车,行为,1490803200
不懂保养汽车,点火线圈,器件,1490803200
不懂保养汽车,发动机,器件,1490803200
不懂保养汽车,不懂保养汽车,行为,1493568000
不懂保养汽车,冒黑烟,故障,1493568000
不懂保养汽车,启动困难,故障,1493568000
不懂保养汽车,不懂保养汽车,行为,1494864000
不懂保养汽车,冒黑烟,故障,1494864000
不懂保养汽车,不懂保养汽车,行为,1488038400
不懂保养汽车,水温高,故障,1488038400
不懂保养汽车,不懂保养汽车,行为,1492617600
不懂保养汽车,启动困难,故障,1492617600
不懂保养汽车,不懂保养汽车,行为,1494518400
不懂保养汽车,分电器断电臂,器件,1494518400
不懂保养汽车,不懂保养汽车,行为,1494000000
不懂保养汽车,水温高,故障,1494000000
不懂保养汽车,不懂保养汽车,行为,1484755200
不懂保养汽车,保险丝,器件,1484755200
不懂保养汽车,不懂保养汽车,行为,1499961600
不懂保养汽车,启动困难,故障,1499961600
不懂保养汽车,压力开关,器件,1499961600
不懂保养汽车,不懂保养汽车,行为,1483286400
不懂保养汽车,电阻,器件,1483286400
不懂保养汽车,不懂保养汽车,行为,1500134400
不懂保养汽车,启动困难,故障,1500134400
不懂保养汽车,不懂保养汽车,行为,1484668800
不懂保养汽车,水温高,故障,1484668800
不懂保养汽车,不懂保养汽车,行为,1496678400
不懂保养汽车,怠速不稳,故障,1496678400
不懂保养汽车,不懂保养汽车,行为,1495468800
不懂保养汽车,发动机故障,故障,1495468800
不懂保养汽车,不懂保养汽车,行为,1488297600
不懂保养汽车,排气管,器件,1488297600
不懂保养汽车,不懂保养汽车,行为,1491148800
不懂保养汽车,刹车失灵,故障,1491148800
不懂保养汽车,不懂保养汽车,行为,1491235200
不懂保养汽车,起动机,器件,1491235200
不懂保养汽车,不懂保养汽车,行为,1486569600
不懂保养汽车,消声器,器件,1486569600
不懂保养汽车,单缸,器件,1489248000
不懂保养汽车,不懂保养汽车,行为,1499443200
不懂保养汽车,弹簧,器件,1499443200
不懂保养汽车,不懂保养汽车,行为,1499529600
不懂保养汽车,锁止失效,故障,1499529600
不懂保养汽车,“哧哧”声,故障,1499616000
不懂保养汽车,不懂保养汽车,行为,1499616000
不懂保养汽车,不懂保养汽车,行为,1494259200
不懂保养汽车,起动机,器件,1494259200
不懂保养汽车,不懂保养汽车,行为,1491321600
不懂保养汽车,活塞环,器件,1491321600
不懂保养汽车,制动器,器件,1486224000
不懂保养汽车,不懂保养汽车,行为,1494172800
不懂保养汽车,使用制动后不发电,故障,1494172800
不懂保养汽车,交流发电机,器件,1488297600
不懂保养汽车,蓄电池,器件,1494259200
不懂保养汽车,中控门锁,器件,1486224000
不懂保养汽车,不懂保养汽车,行为,1493481600
不懂保养汽车,发动机,器件,1493481600
不懂保养汽车,点火开关,器件,1483545600
不懂保养汽车,电枢轴脱焊造成起动机空转,故障,1483545600
不懂保养汽车,"起动困难 ",故障,1486224000
不懂保养汽车,行驶无力,故障,1487433600
不懂保养汽车,起动机,器件,1489248000
不懂保养汽车,触点烧蚀,故障,1490803200
不懂保养汽车,容易熄火,故障,1490803200
不懂保养汽车,消音器,器件,1493568000
不懂保养汽车,喷油泵,器件,1493568000
不懂保养汽车,排气管,器件,1494864000
不懂保养汽车,节温器,器件,1488038400
不懂保养汽车,曲轴,器件,1492617600
不懂保养汽车,熄火,故障,1494518400
不懂保养汽车,风扇皮带,器件,1494000000
不懂保养汽车,启动困难,故障,1484755200
不懂保养汽车,气缸垫,器件,1499961600
不懂保养汽车,空调压缩机跳动,故障,1499961600
不懂保养汽车,空调故障,故障,1483286400
不懂保养汽车,链条,器件,1500134400
不懂保养汽车,节温器，冷却系,器件,1484668800
不懂保养汽车,排气系统,器件,1496678400
不懂保养汽车,螺帽,器件,1495468800
不懂保养汽车,车体有异响,故障,1488297600
不懂保养汽车,刹车线,器件,1491148800
不懂保养汽车,起动机运转无力,故障,1491235200
不懂保养汽车,消声器爆裂,故障,1486569600
不懂保养汽车,单缸电时试验机不能起动探因,故障,1489248000
不懂保养汽车,汽车摆头,故障,1499443200
不懂保养汽车,锁片,器件,1499529600
不懂保养汽车,气泵一轴承,器件,1499616000
不懂保养汽车,起动机转动无力,故障,1494259200
不懂保养汽车,活塞环折断,故障,1491321600
不懂保养汽车,制动跑偏故障,故障,1486224000
不懂保养汽车,发电机,器件,1494172800
不懂保养汽车,交流发电机不发电故障,故障,1488297600
不懂保养汽车,蓄电池突然损坏,故障,1494259200
不懂保养汽车,中控门锁突然失灵故障,故障,1486224000
不懂保养汽车,发动机启动困难,故障,1493481600
不能启动,不能启动,故障,1493481600
不能启动,保险丝,器件,1493481600
不能启动,修理不当,行为,1493481600
不能起动,不能起动,故障,1498060800
不能起动,修理不当,行为,1498060800
不能起动,搭铁线,器件,1498060800
中控锁故障,中控锁故障,故障,1492531200
中控锁故障,操作分心,行为,1492531200
中控锁故障,电机,器件,1492531200
中控门锁,不懂保养汽车,行为,1486224000
中控门锁,中控门锁,器件,1486224000
中控门锁,中控门锁突然失灵故障,故障,1486224000
中控门锁突然失灵故障,不懂保养汽车,行为,1486224000
中控门锁突然失灵故障,中控门锁,器件,1486224000
中控门锁突然失灵故障,中控门锁突然失灵故障,故障,1486224000
二极管,二极管,器件,1484236800
二极管,启动困难,故障,1484236800
二极管,不定时检查车况,行为,1485705600
二极管,二极管,器件,1485705600
二极管,启动困难,故障,1485705600
二极管,责任心不强,行为,1484236800
二极管,没有阅读说明书,行为,1485705600
二极管接线螺杆,二极管接线螺杆,器件,1484668800
二极管接线螺杆,充电指示灯不熄灭,故障,1484668800
二极管接线螺杆,责任心不强,行为,1484668800
五缸连杆瓦,五缸连杆瓦,器件,1488211200
五缸连杆瓦,发动机异响,故障,1488211200
五缸连杆瓦,粗心,行为,1488211200
交流发电机,不懂保养汽车,行为,1488297600
交流发电机,交流发电机,器件,1488297600
交流发电机,交流发电机不发电故障,故障,1488297600
交流发电机不发电故障,不懂保养汽车,行为,1488297600
交流发电机不发电故障,交流发电机,器件,1488297600
交流发电机不发电故障,交流发电机不发电故障,故障,1488297600
交流发电机充电电流不稳定,交流发电机充电电流不稳定,故障,1500307200
交流发电机充电电流不稳定,传动皮带,器件,1500307200
交流发电机充电电流不稳定,不定时检查车况,行为,1502294400
交流发电机充电电流不稳定,交流发电机充电电流不稳定,故障,1502294400
交流发电机充电电流不稳定,交流发电机充电电流不稳定,故障,1497974400
交流发电机充电电流不稳定,意外,行为,1497974400
交流发电机充电电流不稳定,交流发电机充电电流不稳定,故障,1488124800
交流发电机充电电流不稳定,修理不当,行为,1488124800
交流发电机充电电流不稳定,知道故障不修理,行为,1500307200
交流发电机充电电流不稳定,传动皮带,器件,1502294400
交流发电机充电电流不稳定,电刷,器件,1497974400
交流发电机充电电流不稳定,调节器,器件,1488124800
从动盘,从动盘,器件,1497715200
从动盘,离合器异响,故障,1497715200
从动盘,驾驶不当,行为,1497715200
仪表不显示,仪表不显示,故障,1488038400
仪表不显示,保险丝,器件,1488038400
仪表不显示,没有阅读说明书,行为,1488038400
传动皮带,交流发电机充电电流不稳定,故障,1500307200
传动皮带,传动皮带,器件,1500307200
传动皮带,不定时检查车况,行为,1502294400
传动皮带,交流发电机充电电流不稳定,故障,1502294400
传动皮带,知道故障不修理,行为,1500307200
传动皮带,传动皮带,器件,1502294400
低压管,低压管,器件,1499961600
低压管,空调故障,故障,1499961600
低压管,责任心不强,行为,1499961600
使用制动后不发电,不懂保养汽车,行为,1494172800
使用制动后不发电,使用制动后不发电,故障,1494172800
使用制动后不发电,发电机,器件,1494172800
保险丝,修理不当,行为,1489248000
保险丝,保险丝,器件,1489248000
保险丝,仪表不显示,故障,1488038400
保险丝,保险丝,器件,1488038400
保险丝,不懂保养汽车,行为,1484755200
保险丝,保险丝,器件,1484755200
保险丝,上次修理失当,行为,1484496000
保险丝,保险丝,器件,1484496000
保险丝,不能启动,故障,1493481600
保险丝,保险丝,器件,1493481600
保险丝,车灯不亮,故障,1489248000
保险丝,没有阅读说明书,行为,1488038400
保险丝,启动困难,故障,1484755200
保险丝,启动困难,故障,1484496000
保险丝,修理不当,行为,1493481600
信号线,信号线,器件,1499961600
信号线,启动困难,故障,1499961600
信号线,操作分心,行为,1499961600
修理不当,修理不当,行为,1483200000
修理不当,启动困难,故障,1483200000
修理不当,修理不当,行为,1484236800
修理不当,发动机工作不良,故障,1484236800
修理不当,修理不当,行为,1485705600
修理不当,漏油,故障,1485705600
修理不当,修理不当,行为,1486224000
修理不当,水箱盖,器件,1486224000
修理不当,修理不当,行为,1487433600
修理不当,发电机,器件,1487433600
修理不当,修理不当,行为,1489248000
修理不当,保险丝,器件,1489248000
修理不当,修理不当,行为,1491667200
修理不当,发动机,器件,1491667200
修理不当,修理不当,行为,1492704000
修理不当,发动机,器件,1492704000
修理不当,启动困难,故障,1492704000
修理不当,修理不当,行为,1493568000
修理不当,发动机,器件,1493568000
修理不当,变速器,器件,1493568000
修理不当,启动困难,故障,1493568000
修理不当,修理不当,行为,1494604800
修理不当,发动机,器件,1494604800
修理不当,修理不当,行为,1484064000
修理不当,冒黑烟,故障,1484064000
修理不当,修理不当,行为,1498147200
修理不当,启动困难,故障,1498147200
修理不当,修理不当,行为,1500739200
修理不当,点火控制器,器件,1500739200
修理不当,修理不当,行为,1483459200
修理不当,冒黑烟,故障,1483459200
修理不当,修理不当,行为,1492444800
修理不当,启动困难,故障,1492444800
修理不当,修理不当,行为,1489766400
修理不当,化油器,器件,1489766400
修理不当,修理不当,行为,1500220800
修理不当,怠速不稳,故障,1500220800
修理不当,修理不当,行为,1499961600
修理不当,三元催化转换器,器件,1499961600
修理不当,修理不当,行为,1495555200
修理不当,曲轴位置传感器，发动机电子控制器ECU插接头,器件,1495555200
修理不当,修理不当,行为,1484409600
修理不当,输出泵,器件,1484409600
修理不当,修理不当,行为,1497715200
修理不当,转向沉重,故障,1497715200
修理不当,交流发电机充电电流不稳定,故障,1488124800
修理不当,修理不当,行为,1488124800
修理不当,修理不当,行为,1495987200
修理不当,发动机故障,故障,1495987200
修理不当,发动机故障,故障,1497715200
修理不当,修理不当,行为,1495123200
修理不当,发电机故障,故障,1495123200
修理不当,离合器,器件,1486224000
修理不当,修理不当,行为,1494518400
修理不当,离合器,器件,1494518400
修理不当,修理不当,行为,1488470400
修理不当,电路故障,故障,1488470400
修理不当,不能起动,故障,1498060800
修理不当,修理不当,行为,1498060800
修理不当,修理不当,行为,1494345600
修理不当,油表,器件,1494345600
修理不当,修理不当,行为,1498924800
修理不当,车内,器件,1498924800
修理不当,修理不当,行为,1494172800
修理不当,进排气歧管衬垫,器件,1494172800
修理不当,修理不当,行为,1499011200
修理不当,刹车失灵,故障,1499011200
修理不当,修理不当,行为,1496851200
修理不当,排除气阻故障,故障,1496851200
修理不当,修理不当,行为,1493395200
修理不当,空调,器件,1493395200
修理不当,不能启动,故障,1493481600
修理不当,保险丝,器件,1493481600
修理不当,修理不当,行为,1484928000
修理不当,点火控制器,器件,1484928000
修理不当,修理不当,行为,1493481600
修理不当,气门,器件,1493481600
修理不当,点火开关,器件,1483200000
修理不当,燃爆限制器,器件,1484236800
修理不当,轴承,器件,1485705600
修理不当,漏水,故障,1486224000
修理不当,熄火困难,故障,1487433600
修理不当,车灯不亮,故障,1489248000
修理不当,启动困难,故障,1491667200
修理不当,起动机,器件,1492704000
修理不当,异响,故障,1493568000
修理不当,变速困难,故障,1493568000
修理不当,电脑模块,器件,1493568000
修理不当,启动困难,故障,1494604800
修理不当,排气管,器件,1484064000
修理不当,点火开关,器件,1498147200
修理不当,熄火,故障,1500739200
修理不当,氧传感器,器件,1483459200
修理不当,驱动齿轮,器件,1492444800
修理不当,启动困难,故障,1489766400
修理不当,火花塞,器件,1500220800
修理不当,怠速不稳,故障,1499961600
修理不当,熄火,故障,1495555200
修理不当,输油泵故障,故障,1484409600
修理不当,转向系,器件,1497715200
修理不当,调节器,器件,1488124800
修理不当,螺栓,器件,1495987200
修理不当,齿轮,器件,1497715200
修理不当,熄火难,故障,1495123200
修理不当,离合器故障,故障,1486224000
修理不当,离合器异响,故障,1494518400
修理不当,绝缘垫,器件,1488470400
修理不当,搭铁线,器件,1498060800
修理不当,油表指针下降得很慢,故障,1494345600
修理不当,车间异味,故障,1498924800
修理不当,汽油消耗量过大,故障,1493568000
修理不当,进排气歧管衬垫烧穿,故障,1494172800
修理不当,刹车线,器件,1499011200
修理不当,柴油机,器件,1496851200
修理不当,空调故障,故障,1493395200
修理不当,突然熄火后不能启动,故障,1484928000
修理不当,气门脚响,故障,1493481600
倒车灯不亮,上次修理失当,行为,1492012800
倒车灯不亮,倒车灯不亮,故障,1492012800
倒车灯不亮,搭铁线,器件,1492012800
储油罐,储油罐,器件,1490803200
储油罐,换挡困难,故障,1490803200
储油罐,驾驶不当,行为,1490803200
充电指示灯,充电指示灯,器件,1485964800
充电指示灯,充电指示灯不灭,故障,1485964800
充电指示灯,充电指示灯,器件,1491408000
充电指示灯,充电指示灯不灭,故障,1491408000
充电指示灯,驾驶不当,行为,1485964800
充电指示灯,驾驶不当,行为,1491408000
