selected_equipment,S_tag_name,T_tag_name,doc_id,create_time
6105QC型,6105QC型,启动困难,2716,1492704000
6105QC型,6105QC型,没有阅读说明书,2716,1492704000
6105QC型,6105QC型,喷油泵,2716,1492704000
6105QC型,启动困难,没有阅读说明书,2716,1492704000
6105QC型,喷油泵,没有阅读说明书,2716,1492704000
6105QC型,启动困难,喷油泵,2716,1492704000
6110型,6110型,换挡困难,2717,1492704000
6110型,6110型,驾驶不当,2717,1492704000
6110型,6110型,喷油泵,2717,1492704000
6110型,喷油泵,换挡困难,2717,1492704000
6110型,换挡困难,驾驶不当,2717,1492704000
6110型,喷油泵,驾驶不当,2717,1492704000
CA1092E运输车,CA1092E运输车,开锅故障,2645,1483718400
CA1092E运输车,CA1092E运输车,责任心不强,2645,1483718400
CA1092E运输车,CA1092E运输车,发动机,2645,1483718400
CA1092E运输车,发动机,开锅故障,2645,1483718400
CA1092E运输车,开锅故障,责任心不强,2645,1483718400
CA1092E运输车,发动机,责任心不强,2645,1483718400
CA1092E运输车,CA1092E运输车,开锅故障,2741,1493568000
CA1092E运输车,CA1092E运输车,意外,2741,1493568000
CA1092E运输车,CA1092E运输车,发动机,2741,1493568000
CA1092E运输车,发动机,开锅故障,2741,1493568000
CA1092E运输车,开锅故障,意外,2741,1493568000
CA1092E运输车,发动机,意外,2741,1493568000
EQ1090E型汽车,EQ1090E型汽车,启动困难,2653,1484236800
EQ1090E型汽车,EQ1090E型汽车,责任心不强,2653,1484236800
EQ1090E型汽车,EQ1090E型汽车,二极管,2653,1484236800
EQ1090E型汽车,二极管,启动困难,2653,1484236800
EQ1090E型汽车,启动困难,责任心不强,2653,1484236800
EQ1090E型汽车,二极管,责任心不强,2653,1484236800
EQ1090E型汽车,EQ1090E型汽车,启动困难,2656,1485705600
EQ1090E型汽车,EQ1090E型汽车,没有阅读说明书,2656,1485705600
EQ1090E型汽车,EQ1090E型汽车,二极管,2656,1485705600
EQ1090E型汽车,二极管,启动困难,2656,1485705600
EQ1090E型汽车,启动困难,没有阅读说明书,2656,1485705600
EQ1090E型汽车,二极管,没有阅读说明书,2656,1485705600
EQ1090E型汽车,EQ1090E型汽车,启动困难,2692,1489248000
EQ1090E型汽车,EQ1090E型汽车,操作分心,2692,1489248000
EQ1090E型汽车,EQ1090E型汽车,贮气筒,2692,1489248000
EQ1090E型汽车,启动困难,操作分心,2692,1489248000
EQ1090E型汽车,启动困难,贮气筒,2692,1489248000
EQ1090E型汽车,操作分心,贮气筒,2692,1489248000
EQ1090E型汽车,EQ1090E型汽车,启动困难,2708,1491667200
EQ1090E型汽车,EQ1090E型汽车,知道故障不修理,2708,1491667200
EQ1090E型汽车,EQ1090E型汽车,起动机,2708,1491667200
EQ1090E型汽车,启动困难,知道故障不修理,2708,1491667200
EQ1090E型汽车,启动困难,起动机,2708,1491667200
EQ1090E型汽车,知道故障不修理,起动机,2708,1491667200
EQ1090型汽车,EQ1090型汽车,异响,2650,1484236800
EQ1090型汽车,EQ1090型汽车,上次修理失当,2650,1484236800
EQ1090型汽车,EQ1090型汽车,垫板,2650,1484236800
EQ1090型汽车,上次修理失当,异响,2650,1484236800
EQ1090型汽车,垫板,异响,2650,1484236800
EQ1090型汽车,上次修理失当,垫板,2650,1484236800
EQ1090型汽车,EQ1090型汽车,启动困难,2651,1484236800
EQ1090型汽车,EQ1090型汽车,知道故障不修理,2651,1484236800
EQ1090型汽车,EQ1090型汽车,起动机轴承,2651,1484236800
EQ1090型汽车,启动困难,知道故障不修理,2651,1484236800
EQ1090型汽车,启动困难,起动机轴承,2651,1484236800
EQ1090型汽车,知道故障不修理,起动机轴承,2651,1484236800
EQ1090型汽车,EQ1090型汽车,行驶无力,2652,1484236800
EQ1090型汽车,EQ1090型汽车,驾驶不当,2652,1484236800
EQ1090型汽车,EQ1090型汽车,汽油泵,2652,1484236800
EQ1090型汽车,汽油泵,行驶无力,2652,1484236800
EQ1090型汽车,行驶无力,驾驶不当,2652,1484236800
EQ1090型汽车,汽油泵,驾驶不当,2652,1484236800
EQ1090型汽车,EQ1090型汽车,气缸盖碗形塞锈穿,2655,1485705600
EQ1090型汽车,EQ1090型汽车,上次修理失当,2655,1485705600
EQ1090型汽车,EQ1090型汽车,气缸,2655,1485705600
EQ1090型汽车,上次修理失当,气缸盖碗形塞锈穿,2655,1485705600
EQ1090型汽车,气缸,气缸盖碗形塞锈穿,2655,1485705600
EQ1090型汽车,上次修理失当,气缸,2655,1485705600
EQ1090型汽车,EQ1090型汽车,气缸盖锈穿,2657,1485705600
EQ1090型汽车,EQ1090型汽车,没有阅读说明书,2657,1485705600
EQ1090型汽车,EQ1090型汽车,气缸,2657,1485705600
EQ1090型汽车,气缸,气缸盖锈穿,2657,1485705600
EQ1090型汽车,气缸盖锈穿,没有阅读说明书,2657,1485705600
EQ1090型汽车,气缸,没有阅读说明书,2657,1485705600
EQ1090型汽车,EQ1090型汽车,汽油泵故障,2658,1485705600
EQ1090型汽车,EQ1090型汽车,驾驶不当,2658,1485705600
EQ1090型汽车,EQ1090型汽车,发动机,2658,1485705600
EQ1090型汽车,发动机,汽油泵故障,2658,1485705600
EQ1090型汽车,汽油泵故障,驾驶不当,2658,1485705600
EQ1090型汽车,发动机,驾驶不当,2658,1485705600
EQ1090型汽车,EQ1090型汽车,分缸线故障,2659,1485705600
EQ1090型汽车,EQ1090型汽车,上次修理失当,2659,1485705600
EQ1090型汽车,EQ1090型汽车,分缸线,2659,1485705600
EQ1090型汽车,上次修理失当,分缸线故障,2659,1485705600
EQ1090型汽车,分缸线,分缸线故障,2659,1485705600
EQ1090型汽车,上次修理失当,分缸线,2659,1485705600
EQ1090型汽车,EQ1090型汽车,漏油,2660,1485705600
EQ1090型汽车,EQ1090型汽车,修理不当,2660,1485705600
EQ1090型汽车,EQ1090型汽车,轴承,2660,1485705600
EQ1090型汽车,修理不当,漏油,2660,1485705600
EQ1090型汽车,漏油,轴承,2660,1485705600
EQ1090型汽车,修理不当,轴承,2660,1485705600
EQ1090型汽车,EQ1090型汽车,行驶摇头,2661,1486224000
EQ1090型汽车,EQ1090型汽车,没有阅读说明书,2661,1486224000
EQ1090型汽车,EQ1090型汽车,钢板销衬套,2661,1486224000
EQ1090型汽车,没有阅读说明书,行驶摇头,2661,1486224000
EQ1090型汽车,行驶摇头,钢板销衬套,2661,1486224000
EQ1090型汽车,没有阅读说明书,钢板销衬套,2661,1486224000
EQ1090型汽车,EQ1090型汽车,漏水,2662,1486224000
EQ1090型汽车,EQ1090型汽车,修理不当,2662,1486224000
EQ1090型汽车,EQ1090型汽车,水箱盖,2662,1486224000
EQ1090型汽车,修理不当,漏水,2662,1486224000
EQ1090型汽车,水箱盖,漏水,2662,1486224000
EQ1090型汽车,修理不当,水箱盖,2662,1486224000
EQ1090型汽车,EQ1090型汽车,齿轮损坏,2663,1486224000
EQ1090型汽车,EQ1090型汽车,上次修理失当,2663,1486224000
EQ1090型汽车,EQ1090型汽车,齿轮,2663,1486224000
EQ1090型汽车,上次修理失当,齿轮损坏,2663,1486224000
EQ1090型汽车,齿轮,齿轮损坏,2663,1486224000
EQ1090型汽车,上次修理失当,齿轮,2663,1486224000
EQ1090型汽车,EQ1090型汽车,齿轮损坏,2664,1486224000
EQ1090型汽车,EQ1090型汽车,粗心,2664,1486224000
EQ1090型汽车,EQ1090型汽车,齿轮,2664,1486224000
EQ1090型汽车,粗心,齿轮损坏,2664,1486224000
EQ1090型汽车,齿轮,齿轮损坏,2664,1486224000
EQ1090型汽车,粗心,齿轮,2664,1486224000
EQ1090型汽车,EQ1090型汽车,"起动困难 ",2665,1486224000
EQ1090型汽车,EQ1090型汽车,没有阅读说明书,2665,1486224000
EQ1090型汽车,EQ1090型汽车,电流表,2665,1486224000
EQ1090型汽车,没有阅读说明书,"起动困难 ",2665,1486224000
EQ1090型汽车,电流表,"起动困难 ",2665,1486224000
EQ1090型汽车,没有阅读说明书,电流表,2665,1486224000
EQ1090型汽车,EQ1090型汽车,"起动困难 ",2666,1486224000
EQ1090型汽车,EQ1090型汽车,不懂保养汽车,2666,1486224000
EQ1090型汽车,EQ1090型汽车,电流表,2666,1486224000
EQ1090型汽车,不懂保养汽车,"起动困难 ",2666,1486224000
EQ1090型汽车,电流表,"起动困难 ",2666,1486224000
EQ1090型汽车,不懂保养汽车,电流表,2666,1486224000
EQ1090型汽车,EQ1090型汽车,发动机固定螺栓松脱,2668,1486224000
EQ1090型汽车,EQ1090型汽车,上次修理失当,2668,1486224000
EQ1090型汽车,EQ1090型汽车,发动机,2668,1486224000
EQ1090型汽车,上次修理失当,发动机固定螺栓松脱,2668,1486224000
EQ1090型汽车,发动机,发动机固定螺栓松脱,2668,1486224000
EQ1090型汽车,上次修理失当,发动机,2668,1486224000
EQ1090型汽车,EQ1090型汽车,发电机故障,2669,1487088000
EQ1090型汽车,EQ1090型汽车,上次修理失当,2669,1487088000
EQ1090型汽车,EQ1090型汽车,发电机,2669,1487088000
EQ1090型汽车,上次修理失当,发电机故障,2669,1487088000
EQ1090型汽车,发电机,发电机故障,2669,1487088000
EQ1090型汽车,上次修理失当,发电机,2669,1487088000
EQ1090型汽车,EQ1090型汽车,电器传动轴松动,2670,1487088000
EQ1090型汽车,EQ1090型汽车,知道故障不修理,2670,1487088000
EQ1090型汽车,EQ1090型汽车,电器传动轴,2670,1487088000
EQ1090型汽车,电器传动轴,电器传动轴松动,2670,1487088000
EQ1090型汽车,电器传动轴松动,知道故障不修理,2670,1487088000
EQ1090型汽车,电器传动轴,知道故障不修理,2670,1487088000
EQ1090型汽车,EQ1090型汽车,"起动困难 ",2671,1487088000
EQ1090型汽车,EQ1090型汽车,上次修理失当,2671,1487088000
EQ1090型汽车,EQ1090型汽车,化油器,2671,1487088000
EQ1090型汽车,上次修理失当,"起动困难 ",2671,1487088000
EQ1090型汽车,化油器,"起动困难 ",2671,1487088000
EQ1090型汽车,上次修理失当,化油器,2671,1487088000
EQ1090型汽车,EQ1090型汽车,启动困难,2672,1487088000
EQ1090型汽车,EQ1090型汽车,意外,2672,1487088000
EQ1090型汽车,EQ1090型汽车,曲轴箱通风单向阀,2672,1487088000
EQ1090型汽车,启动困难,意外,2672,1487088000
EQ1090型汽车,启动困难,曲轴箱通风单向阀,2672,1487088000
EQ1090型汽车,意外,曲轴箱通风单向阀,2672,1487088000
EQ1090型汽车,EQ1090型汽车,冒黑烟,2673,1487088000
EQ1090型汽车,EQ1090型汽车,操作分心,2673,1487088000
EQ1090型汽车,EQ1090型汽车,火花塞,2673,1487088000
EQ1090型汽车,冒黑烟,操作分心,2673,1487088000
EQ1090型汽车,冒黑烟,火花塞,2673,1487088000
EQ1090型汽车,操作分心,火花塞,2673,1487088000
EQ1090型汽车,EQ1090型汽车,变速器跳挡,2674,1487088000
EQ1090型汽车,EQ1090型汽车,操作分心,2674,1487088000
EQ1090型汽车,EQ1090型汽车,变速器,2674,1487088000
EQ1090型汽车,变速器,变速器跳挡,2674,1487088000
EQ1090型汽车,变速器跳挡,操作分心,2674,1487088000
EQ1090型汽车,变速器,操作分心,2674,1487088000
EQ1090型汽车,EQ1090型汽车,行驶无力,2675,1487433600
EQ1090型汽车,EQ1090型汽车,不懂保养汽车,2675,1487433600
EQ1090型汽车,EQ1090型汽车,混合气,2675,1487433600
EQ1090型汽车,不懂保养汽车,行驶无力,2675,1487433600
EQ1090型汽车,混合气,行驶无力,2675,1487433600
EQ1090型汽车,不懂保养汽车,混合气,2675,1487433600
EQ1090型汽车,EQ1090型汽车,爆燃,2676,1487433600
EQ1090型汽车,EQ1090型汽车,驾驶不当,2676,1487433600
EQ1090型汽车,EQ1090型汽车,气缸,2676,1487433600
EQ1090型汽车,气缸,爆燃,2676,1487433600
EQ1090型汽车,爆燃,驾驶不当,2676,1487433600
EQ1090型汽车,气缸,驾驶不当,2676,1487433600
EQ1090型汽车,EQ1090型汽车,行驶无力,2677,1487433600
EQ1090型汽车,EQ1090型汽车,责任心不强,2677,1487433600
EQ1090型汽车,EQ1090型汽车,混合气,2677,1487433600
EQ1090型汽车,混合气,行驶无力,2677,1487433600
EQ1090型汽车,行驶无力,责任心不强,2677,1487433600
EQ1090型汽车,混合气,责任心不强,2677,1487433600
EQ1090型汽车,EQ1090型汽车,蓄电池损坏,2678,1487433600
EQ1090型汽车,EQ1090型汽车,意外,2678,1487433600
EQ1090型汽车,EQ1090型汽车,蓄电池,2678,1487433600
EQ1090型汽车,意外,蓄电池损坏,2678,1487433600
EQ1090型汽车,蓄电池,蓄电池损坏,2678,1487433600
EQ1090型汽车,意外,蓄电池,2678,1487433600
EQ1090型汽车,EQ1090型汽车,大量漏油,2679,1487433600
EQ1090型汽车,EQ1090型汽车,不定时检查车况,2679,1487433600
EQ1090型汽车,EQ1090型汽车,机油泵,2679,1487433600
EQ1090型汽车,不定时检查车况,大量漏油,2679,1487433600
EQ1090型汽车,大量漏油,机油泵,2679,1487433600
EQ1090型汽车,不定时检查车况,机油泵,2679,1487433600
EQ1090型汽车,EQ1090型汽车,爆燃,2680,1487433600
EQ1090型汽车,EQ1090型汽车,驾驶不当,2680,1487433600
EQ1090型汽车,EQ1090型汽车,曲轴箱,2680,1487433600
EQ1090型汽车,曲轴箱,爆燃,2680,1487433600
EQ1090型汽车,爆燃,驾驶不当,2680,1487433600
EQ1090型汽车,曲轴箱,驾驶不当,2680,1487433600
EQ1090型汽车,EQ1090型汽车,跳挡,2681,1487433600
EQ1090型汽车,EQ1090型汽车,意外,2681,1487433600
EQ1090型汽车,EQ1090型汽车,垫片,2681,1487433600
EQ1090型汽车,意外,跳挡,2681,1487433600
EQ1090型汽车,垫片,跳挡,2681,1487433600
EQ1090型汽车,垫片,意外,2681,1487433600
EQ1090型汽车,EQ1090型汽车,启动困难,2682,1487433600
EQ1090型汽车,EQ1090型汽车,操作分心,2682,1487433600
EQ1090型汽车,EQ1090型汽车,齿轮,2682,1487433600
EQ1090型汽车,启动困难,操作分心,2682,1487433600
EQ1090型汽车,启动困难,齿轮,2682,1487433600
EQ1090型汽车,操作分心,齿轮,2682,1487433600
EQ1090型汽车,EQ1090型汽车,熄火困难,2683,1487433600
EQ1090型汽车,EQ1090型汽车,修理不当,2683,1487433600
EQ1090型汽车,EQ1090型汽车,发电机,2683,1487433600
EQ1090型汽车,修理不当,熄火困难,2683,1487433600
EQ1090型汽车,发电机,熄火困难,2683,1487433600
EQ1090型汽车,修理不当,发电机,2683,1487433600
EQ1090型汽车,EQ1090型汽车,启动困难,2684,1487433600
EQ1090型汽车,EQ1090型汽车,意外,2684,1487433600
EQ1090型汽车,EQ1090型汽车,发动机,2684,1487433600
EQ1090型汽车,发动机,启动困难,2684,1487433600
EQ1090型汽车,启动困难,意外,2684,1487433600
EQ1090型汽车,发动机,意外,2684,1487433600
EQ1090型汽车,EQ1090型汽车,异响,2685,1489248000
EQ1090型汽车,EQ1090型汽车,粗心,2685,1489248000
EQ1090型汽车,EQ1090型汽车,离合器,2685,1489248000
EQ1090型汽车,异响,粗心,2685,1489248000
EQ1090型汽车,离合器,粗心,2685,1489248000
EQ1090型汽车,异响,离合器,2685,1489248000
EQ1090型汽车,EQ1090型汽车,车灯不亮,2687,1489248000
EQ1090型汽车,EQ1090型汽车,修理不当,2687,1489248000
EQ1090型汽车,EQ1090型汽车,保险丝,2687,1489248000
EQ1090型汽车,修理不当,车灯不亮,2687,1489248000
EQ1090型汽车,保险丝,车灯不亮,2687,1489248000
EQ1090型汽车,保险丝,修理不当,2687,1489248000
EQ1090型汽车,EQ1090型汽车,行驶无力,2688,1489248000
EQ1090型汽车,EQ1090型汽车,责任心不强,2688,1489248000
EQ1090型汽车,EQ1090型汽车,变速器,2688,1489248000
EQ1090型汽车,变速器,行驶无力,2688,1489248000
EQ1090型汽车,行驶无力,责任心不强,2688,1489248000
EQ1090型汽车,变速器,责任心不强,2688,1489248000
EQ1090型汽车,EQ1090型汽车,启动困难,2689,1489248000
EQ1090型汽车,EQ1090型汽车,知道故障不修理,2689,1489248000
EQ1090型汽车,EQ1090型汽车,发动机,2689,1489248000
EQ1090型汽车,发动机,启动困难,2689,1489248000
EQ1090型汽车,启动困难,知道故障不修理,2689,1489248000
EQ1090型汽车,发动机,知道故障不修理,2689,1489248000
EQ1090型汽车,EQ1090型汽车,异响,2693,1489248000
EQ1090型汽车,EQ1090型汽车,驾驶不当,2693,1489248000
EQ1090型汽车,EQ1090型汽车,混合气,2693,1489248000
EQ1090型汽车,异响,驾驶不当,2693,1489248000
EQ1090型汽车,混合气,驾驶不当,2693,1489248000
EQ1090型汽车,异响,混合气,2693,1489248000
EQ1090型汽车,EQ1090型汽车,行驶无力,2694,1489248000
EQ1090型汽车,EQ1090型汽车,责任心不强,2694,1489248000
EQ1090型汽车,EQ1090型汽车,变速器,2694,1489248000
EQ1090型汽车,变速器,行驶无力,2694,1489248000
EQ1090型汽车,行驶无力,责任心不强,2694,1489248000
EQ1090型汽车,变速器,责任心不强,2694,1489248000
EQ1090型汽车,EQ1090型汽车,转向困难,2695,1489248000
EQ1090型汽车,EQ1090型汽车,没有阅读说明书,2695,1489248000
EQ1090型汽车,EQ1090型汽车,车垫,2695,1489248000
EQ1090型汽车,没有阅读说明书,转向困难,2695,1489248000
EQ1090型汽车,车垫,转向困难,2695,1489248000
EQ1090型汽车,没有阅读说明书,车垫,2695,1489248000
EQ1090型汽车,EQ1090型汽车,启动困难,2696,1490803200
EQ1090型汽车,EQ1090型汽车,操作分心,2696,1490803200
EQ1090型汽车,EQ1090型汽车,起动机,2696,1490803200
EQ1090型汽车,启动困难,操作分心,2696,1490803200
EQ1090型汽车,启动困难,起动机,2696,1490803200
EQ1090型汽车,操作分心,起动机,2696,1490803200
EQ1090型汽车,EQ1090型汽车,怠速不稳,2697,1490803200
EQ1090型汽车,EQ1090型汽车,上次修理失当,2697,1490803200
EQ1090型汽车,EQ1090型汽车,发动机,2697,1490803200
EQ1090型汽车,上次修理失当,怠速不稳,2697,1490803200
EQ1090型汽车,发动机,怠速不稳,2697,1490803200
EQ1090型汽车,上次修理失当,发动机,2697,1490803200
EQ1090型汽车,EQ1090型汽车,方向盘故障,2698,1490803200
EQ1090型汽车,EQ1090型汽车,没有阅读说明书,2698,1490803200
EQ1090型汽车,EQ1090型汽车,方向盘,2698,1490803200
EQ1090型汽车,方向盘,方向盘故障,2698,1490803200
EQ1090型汽车,方向盘故障,没有阅读说明书,2698,1490803200
EQ1090型汽车,方向盘,没有阅读说明书,2698,1490803200
EQ1090型汽车,EQ1090型汽车,容易熄火,2699,1490803200
EQ1090型汽车,EQ1090型汽车,上次修理失当,2699,1490803200
EQ1090型汽车,EQ1090型汽车,发电机,2699,1490803200
EQ1090型汽车,上次修理失当,容易熄火,2699,1490803200
EQ1090型汽车,发电机,容易熄火,2699,1490803200
EQ1090型汽车,上次修理失当,发电机,2699,1490803200
EQ1090型汽车,EQ1090型汽车,容易熄火,2701,1490803200
EQ1090型汽车,EQ1090型汽车,操作分心,2701,1490803200
EQ1090型汽车,EQ1090型汽车,车垫,2701,1490803200
EQ1090型汽车,容易熄火,操作分心,2701,1490803200
EQ1090型汽车,容易熄火,车垫,2701,1490803200
EQ1090型汽车,操作分心,车垫,2701,1490803200
EQ1090型汽车,EQ1090型汽车,触点烧蚀,2702,1490803200
EQ1090型汽车,EQ1090型汽车,不懂保养汽车,2702,1490803200
EQ1090型汽车,EQ1090型汽车,点火线圈,2702,1490803200
EQ1090型汽车,不懂保养汽车,触点烧蚀,2702,1490803200
EQ1090型汽车,点火线圈,触点烧蚀,2702,1490803200
EQ1090型汽车,不懂保养汽车,点火线圈,2702,1490803200
EQ1090型汽车,EQ1090型汽车,换挡困难,2709,1491667200
EQ1090型汽车,EQ1090型汽车,驾驶不当,2709,1491667200
EQ1090型汽车,EQ1090型汽车,离合器,2709,1491667200
EQ1090型汽车,换挡困难,驾驶不当,2709,1491667200
EQ1090型汽车,离合器,驾驶不当,2709,1491667200
EQ1090型汽车,换挡困难,离合器,2709,1491667200
EQ1090型汽车,EQ1090型汽车,行驶无力,2710,1491667200
EQ1090型汽车,EQ1090型汽车,操作分心,2710,1491667200
EQ1090型汽车,EQ1090型汽车,发动机,2710,1491667200
EQ1090型汽车,操作分心,行驶无力,2710,1491667200
EQ1090型汽车,发动机,行驶无力,2710,1491667200
EQ1090型汽车,发动机,操作分心,2710,1491667200
EQ1090型汽车,EQ1090型汽车,换挡困难,2711,1491667200
EQ1090型汽车,EQ1090型汽车,不定时检查车况,2711,1491667200
EQ1090型汽车,EQ1090型汽车,离合器,2711,1491667200
EQ1090型汽车,不定时检查车况,换挡困难,2711,1491667200
EQ1090型汽车,换挡困难,离合器,2711,1491667200
EQ1090型汽车,不定时检查车况,离合器,2711,1491667200
EQ1090型汽车,EQ1090型汽车,启动困难,2712,1491667200
EQ1090型汽车,EQ1090型汽车,没有阅读说明书,2712,1491667200
EQ1090型汽车,EQ1090型汽车,制动器,2712,1491667200
EQ1090型汽车,制动器,启动困难,2712,1491667200
EQ1090型汽车,启动困难,没有阅读说明书,2712,1491667200
EQ1090型汽车,制动器,没有阅读说明书,2712,1491667200
EQ1090型汽车,EQ1090型汽车,开锅,2715,1492704000
EQ1090型汽车,EQ1090型汽车,没有阅读说明书,2715,1492704000
EQ1090型汽车,EQ1090型汽车,散热器,2715,1492704000
EQ1090型汽车,开锅,没有阅读说明书,2715,1492704000
EQ1090型汽车,散热器,没有阅读说明书,2715,1492704000
EQ1090型汽车,开锅,散热器,2715,1492704000
EQ1090型汽车,EQ1090型汽车,开锅,2718,1492704000
EQ1090型汽车,EQ1090型汽车,不定时检查车况,2718,1492704000
EQ1090型汽车,EQ1090型汽车,散热器,2718,1492704000
EQ1090型汽车,不定时检查车况,开锅,2718,1492704000
EQ1090型汽车,开锅,散热器,2718,1492704000
EQ1090型汽车,不定时检查车况,散热器,2718,1492704000
EQ1090型汽车,EQ1090型汽车,耗油过大,2720,1492704000
EQ1090型汽车,EQ1090型汽车,责任心不强,2720,1492704000
EQ1090型汽车,EQ1090型汽车,发动机,2720,1492704000
EQ1090型汽车,发动机,耗油过大,2720,1492704000
EQ1090型汽车,耗油过大,责任心不强,2720,1492704000
EQ1090型汽车,发动机,责任心不强,2720,1492704000
EQ1090型汽车,EQ1090型汽车,启动困难,2721,1492704000
EQ1090型汽车,EQ1090型汽车,修理不当,2721,1492704000
EQ1090型汽车,EQ1090型汽车,发动机,2721,1492704000
EQ1090型汽车,修理不当,启动困难,2721,1492704000
EQ1090型汽车,发动机,启动困难,2721,1492704000
EQ1090型汽车,修理不当,发动机,2721,1492704000
EQ1090型汽车,EQ1090型汽车,启动困难,2723,1492704000
EQ1090型汽车,EQ1090型汽车,修理不当,2723,1492704000
EQ1090型汽车,EQ1090型汽车,起动机,2723,1492704000
EQ1090型汽车,修理不当,启动困难,2723,1492704000
EQ1090型汽车,启动困难,起动机,2723,1492704000
EQ1090型汽车,修理不当,起动机,2723,1492704000
EQ1090型汽车,EQ1090型汽车,异响,2724,1492704000
EQ1090型汽车,EQ1090型汽车,不定时检查车况,2724,1492704000
EQ1090型汽车,EQ1090型汽车,发动机,2724,1492704000
EQ1090型汽车,不定时检查车况,异响,2724,1492704000
EQ1090型汽车,发动机,异响,2724,1492704000
EQ1090型汽车,不定时检查车况,发动机,2724,1492704000
EQ1090型汽车,EQ1090型汽车,异响,2725,1492704000
EQ1090型汽车,EQ1090型汽车,操作分心,2725,1492704000
EQ1090型汽车,EQ1090型汽车,车垫,2725,1492704000
EQ1090型汽车,异响,操作分心,2725,1492704000
EQ1090型汽车,异响,车垫,2725,1492704000
EQ1090型汽车,操作分心,车垫,2725,1492704000
EQ1090型汽车,EQ1090型汽车,开锅,2726,1492704000
EQ1090型汽车,EQ1090型汽车,知道故障不修理,2726,1492704000
EQ1090型汽车,EQ1090型汽车,散热器,2726,1492704000
EQ1090型汽车,开锅,知道故障不修理,2726,1492704000
EQ1090型汽车,散热器,知道故障不修理,2726,1492704000
EQ1090型汽车,开锅,散热器,2726,1492704000
EQ1090油罐车,EQ1090油罐车,飞轮损坏,2727,1492704000
EQ1090油罐车,EQ1090油罐车,意外,2727,1492704000
EQ1090油罐车,EQ1090油罐车,飞轮,2727,1492704000
EQ1090油罐车,意外,飞轮损坏,2727,1492704000
EQ1090油罐车,飞轮,飞轮损坏,2727,1492704000
EQ1090油罐车,意外,飞轮,2727,1492704000
EQ1090运水车,EQ1090运水车,电路故障,2898,1488470400
EQ1090运水车,EQ1090运水车,修理不当,2898,1488470400
EQ1090运水车,EQ1090运水车,绝缘垫,2898,1488470400
EQ1090运水车,修理不当,电路故障,2898,1488470400
EQ1090运水车,电路故障,绝缘垫,2898,1488470400
EQ1090运水车,修理不当,绝缘垫,2898,1488470400
EQ1090运水车,EQ1090运水车,冒黑烟，动力不足,2899,1495296000
EQ1090运水车,EQ1090运水车,责任心不强,2899,1495296000
